state,year,deaths,pop,rate_per_million,log_pop
NH,2024,7,1409032,4.967949627829602,14.158413501765578
NJ,2015,15,8870312,1.6910340921491827,15.998220528413482
NJ,2016,12,8873584,1.3523284391064534,15.998589331300636
NJ,2017,12,8888147,1.35011268377987,16.00022914931875
NJ,2018,12,8891730,1.3495686441221224,16.000632189232746
NJ,2019,12,8891258,1.3496402871224746,16.000579104790457
NJ,2020,8,9272794,0.8627388897024997,16.042595294502714
NJ,2021,11,9270541,1.1865542690550637,16.042352296141193
NJ,2022,8,9295227,0.8606567650257492,16.04501160057159
NJ,2023,11,9379642,1.172752648768471,16.054052153942756
NJ,2024,7,9500851,0.7367761056351688,16.066891931506184
NM,2015,20,2090071,9.569052917341084,14.552708594655849
NM,2016,21,2092555,10.035578515260053,14.553896365349205
NM,2017,21,2092844,10.034192706193105,14.554034464488838
NM,2018,20,2093754,9.552220556951772,14.55446918500145
NM,2019,18,2099634,8.572922709386493,14.557273601789845
NM,2020,16,2118606,7.5521356967742,14.56626888319943
NM,2021,26,2117333,12.279598910516201,14.565667835810256
NM,2022,30,2113868,14.19199306673832,14.56403000259242
NM,2023,22,2121164,10.371663860031568,14.567475552575543
NM,2024,25,2130256,11.735678716548621,14.571752718257061
NV,2015,19,2868531,6.623599326623976,14.869310610007675
NV,2016,13,2919555,4.4527333788882215,14.886941765370548
NV,2017,16,2972097,5.383404377447977,14.90477832224142
NV,2018,23,3030725,7.5889432396538785,14.924312422791504
NV,2019,11,3090771,3.558982532190188,14.943931132313454
NV,2020,25,3116967,8.020617478465445,14.952370971590447
NV,2021,12,3148141,3.811773360850102,14.962322677859449
NV,2022,15,3176116,4.722749420990921,14.971169624611653
NV,2023,19,3214363,5.910968985145735,14.983139762274718
NV,2024,18,3267467,5.508854412301639,14.999525624965091
NY,2015,19,19657321,0.9665610079827256,16.79396039686714
NY,2016,17,19636391,0.8657395343166675,16.792895086367615
NY,2017,16,19593849,0.8165827959580582,16.790726248416284
NY,2018,16,19544098,0.8186614700765418,16.78818390623379
NY,2019,22,19463131,1.130342286654701,16.78403251592189
NY,2020,20,20105171,0.9947689576974998,16.81648760362427
NY,2021,19,19848276,0.957261980839041,16.803627709940283
NY,2022,21,19703747,1.0657871317572236,16.796319378667597
NY,2023,22,19737367,1.1146370232665788,16.79802419908128
NY,2024,27,19867248,1.3590206353693273,16.80458310468432
OH,2015,29,11622315,2.4951999666159455,16.2684375150186
OH,2016,26,11640060,2.233665462205521,16.269963154893457
OH,2017,34,11665706,2.9145257046594524,16.272163984538075
OH,2018,31,11680892,2.6539069105338875,16.27346490231134
OH,2019,24,11696507,2.0518946382881658,16.274800808185407
OH,2020,23,11798905,1.9493334339076378,16.283517288519853
OH,2021,26,11767344,2.209504540701793,16.280838795318065
OH,2022,38,11777874,3.2263887353524074,16.28173324451807
OH,2023,29,11824034,2.4526316483866673,16.285644797673427
OH,2024,45,11883304,3.7868256168486476,16.290644947710224
OK,2015,32,3910518,8.183059124136497,15.179180404005153
OK,2016,26,3928143,6.618903639709654,15.183677353089152
OK,2017,26,3933602,6.60971801417632,15.185066103519842
OK,2018,33,3943488,8.368226301183116,15.18757616883343
OK,2019,34,3960676,8.584393169246866,15.191925275732576
OK,2020,28,3965415,7.061051617548226,15.193121073399977
OK,2021,18,3992238,4.508749227876695,15.199862533874812
OK,2022,28,4026229,6.954398271931378,15.208340763842443
OK,2023,24,4063882,5.9056832850953835,15.217649232385847
OK,2024,17,4095393,4.151005776490804,15.225373241360385
OR,2015,15,4018542,3.732697082673268,15.206429708241359
OR,2016,15,4093271,3.664550917835638,15.224854963886184
OR,2017,12,4147294,2.8934529358179093,15.237966631338232
OR,2018,16,4183538,3.8245140835340803,15.246667857979991
OR,2019,18,4216116,4.2693322479742015,15.254424883056325
OR,2020,16,4243779,3.770224604061616,15.260964703844587
OR,2021,17,4254280,3.995975817294583,15.263436092980577
OR,2022,23,4247372,5.415113157029806,15.261810996700396
OR,2023,18,4253653,4.231656884094683,15.263288701128493
OR,2024,16,4272371,3.7449931197454527,15.267679500420686
PA,2015,18,12789838,1.4073673177095753,16.36416150732938
PA,2016,22,12788468,1.720299882675548,16.36405438530173
PA,2017,23,12794679,1.797622277198201,16.36453993933635
PA,2018,23,12809107,1.7955974604630909,16.365666960279828
PA,2019,14,12798883,1.0938454551072934,16.36486845945698
PA,2020,19,12996143,1.4619722174494387,16.380163179096247
PA,2021,24,13015571,1.8439452252997584,16.381656967903293
PA,2022,23,12984990,1.7712759116487575,16.37930463295932
PA,2023,29,13017721,2.227732488659113,16.38182214102123
PA,2024,32,13078751,2.4467168156959334,16.386499410137297
RI,2015,0,1056886,0,13.870837406623396
RI,2016,2,1057816,1.8906879835434518,13.871716963232277
RI,2017,1,1056554,0.9464731570747922,13.870523226894868
RI,2018,1,1059338,0.9439857722464406,13.87315474268733
RI,2019,0,1058158,0,13.872040218624807
