id,state,year,age_group,gender,race,whether_mental_ill,armed,flee,body_camera_binary
633,IL,2015,18–29,male,W,no,yes,no,0
636,WY,2015,18–29,male,W,no,yes,no,0
629,GA,2015,18–29,male,B,no,yes,no,0
635,CA,2015,18–29,male,W,no,yes,yes,0
638,MA,2015,18–29,male,H,no,Unknown,no,0
645,CA,2015,30–44,male,W,no,yes,no,0
639,FL,2015,18–29,male,B,no,yes,no,0
641,OH,2015,60+,male,Unknown,no,yes,no,0
643,MI,2015,30–44,male,W,yes,yes,no,0
642,CA,2015,18–29,male,B,yes,yes,no,0
646,WI,2015,18–29,male,H,yes,yes,no,0
647,FL,2015,30–44,male,B,no,yes,no,0
648,KS,2015,30–44,male,W,no,yes,yes,0
649,TN,2015,18–29,male,O,yes,yes,no,0
656,WY,2015,18–29,male,N,no,yes,no,0
664,AL,2015,18–29,male,W,no,yes,yes,0
644,WA,2015,18–29,male,W,no,yes,yes,0
651,FL,2015,18–29,male,B,no,no,yes,0
655,CA,2015,45–59,male,W,yes,yes,no,0
657,TN,2015,18–29,male,B,no,no,yes,0
660,TX,2015,18–29,male,H,no,yes,yes,0
650,CO,2015,18–29,male,W,yes,yes,no,0
652,AZ,2015,45–59,male,W,no,yes,no,0
654,KS,2015,60+,male,W,no,yes,no,0
653,OH,2015,30–44,male,B,no,no,yes,1
658,TX,2015,30–44,male,W,no,yes,yes,0
759,CA,2015,45–59,male,W,no,yes,no,0
661,GA,2015,45–59,male,W,no,no,no,0
662,FL,2015,18–29,male,W,no,yes,yes,0
